city_id,city,latitude,longitude,member_count,ranking,state,zip
101,West New York,40.790001,-74.010002,661,32,NJ,7093
102,New York,40.75,-73.989998,229371,1,NY,10001
103,New York Mills,43.099998,-75.290001,22,109,NY,13417
104,East Chicago,41.639999,-87.459999,31,90,IN,46312
105,New York Mills,46.689999,-95.349998,5,10,MN,56567
106,North Chicago,42.330002,-87.860001,45,32,IL,60064
107,West Chicago,41.889999,-88.199997,214,95,IL,60185
108,Chicago Heights,41.509998,-87.610001,141,128,IL,60411
109,Chicago Ridge,41.700001,-87.779999,77,178,IL,60415
110,Chicago,41.880001,-87.620003,90918,2,IL,60290
111,South San Francisco,37.650002,-122.43,511,4,CA,94080
112,San Francisco,37.779999,-122.419998,60351,2,CA,94101
113,Chicago Park,39.16,-120.959999,4,37,CA,95712
114,Baltimore,39.29,76.61,1000,5,MD,21201
115,Gainesville,29.65,82.32,156,27,FL,32608
